Gene_ID,Gene_symbol,Gene_name,Gene_aliases,Chromosome,HomoloGene ID
4353,MPO,myeloperoxidase,,17,55450
4524,MTHFR,methylenetetrahydrofolate reductase (NAD(P)H),,1,4349
114548,NLRP3,"NLR family, pyrin domain containing 3","AII, AVP, FCU, MWS, FCAS, CIAS1, FCAS1, NALP3, C1orf7, CLR1.1, PYPAF1, AGTAVPRL",1,3600
4846,NOS3,nitric oxide synthase 3,"eNOS, ECNOS",7,504
50507,NOX4,NADPH oxidase 4,"KOX, KOX-1, RENOX",11,41065
4852,NPY,neuropeptide Y,PYY4,7,697
1728,NQO1,"NAD(P)H dehydrogenase, quinone 1","DTD, QR1, DHQU, DIA4, NMOR1, NMORI",16,695
6696,OPN,secreted phosphoprotein 1,"OPN, BNSP, BSPI, ETA-1",4,20156
142,PARP1,poly(ADP-ribose) polymerase 1,"PARP, PPOL, ADPRT, ARTD1, ADPRT1, PARP-1, ADPRT, 1, pADPRT-1",1,1222
5076,PAX2,paired box 2,FSGS7 PAPRS,10,2968
255738,PCSK9,proprotein convertase subtilisin/kexin type 9,"FH3, PC9, NARC1, LDLCQ1, NARC-1, HCHOLA3",1,17790
80310,PDGFD,platelet derived growth factor D,"IEGF, SCDGFB, MSTP036, SCDGF-B",11,11875
5320,PLA2G2A,phospholipase A2 group IIA,"MOM1, PLA2, PLA2B, PLA2L, PLA2S, PLAS1, sPLA2",1,254
5360,PLTP,phospholipid transfer protein,"BPIFE, HDLCQ9",20,4536
5444,PON1,paraoxonase 1,"ESA, PON, MVCD5",7,68058
5445,PON2,paraoxonase 2,,7,385
5446,PON3,paraoxonase 3,,7,37371
5465,PPARA,peroxisome proliferator activated receptor alpha,"PPAR, NR1C1, hPPAR, PPARalpha",22,21047
5468,PPARG,peroxisome proliferator activated receptor gamma,"GLM1, CIMT1, NR1C3, PPA",3,7899
5547,PRCP,prolylcarboxypeptidase,"PCP, HUMPCP",11,55867
3275,PRMT2,protein arginine methyltransferase 2,HRMT1L1,21,55587
5730,PTGDS,prostaglandin D2 synthase 21kDa (brain),"PDS,  PGD2,  PGDS,  LPGDS,  PGDS2,  L-PGDS",9,737
5770,PTPN1,"protein tyrosine phosphatase, non-receptor type 1",PTP1B,20,2119
5806,PTX3,pentraxin 3,"TSG-14, TNFAIP5",3,7500
5950,RBP4,retinol binding protein 4,"RDCCAS, MCOPCB10",10,4908
5972,REN,renin,HNFJ2,1,2184
56729,RETN,resistin,"ADSF, RSTN, XCP1, FIZZ3, RETN1",19,10703
9475,ROCK2,Rho associated coiled-coil containing protein kinase 2,ROCK-II,2,21010
860,RUNX2,runt related transcription factor 2,"CCD, AML3, CCD1, CLCD, OSF2, CBFA1, OSF-2, PEA2aA, PEBP2aA, CBF-alpha-1",6,
58506,SCAF1,SR-related CTD-associated factor 1,SRA1,19,10442
949,SCARB1,scavenger receptor class B member 1,"CLA1, SRB1, CLA-1, SR-BI, CD36L1, HDLQTL6",12,21132
23411,SIRT1,sirtuin 1,"SIR2, SIR2L1, SIR2alpha",10,56556
50964,SOST,sclerostin,"CDD,  VBCH,  SOST1",17,11542
79689,STEAP4,STEAP4 metalloreductase,"TIARP, STAMP2, TNFAIP9",7,36422
6934,TCF7L2,transcription factor 7 like 2,"TCF4, TCF-4",10,7564
7078,TIMP3,TIMP metallopeptidase inhibitor 3,"SFD, K222, K222TA2, HSMRK222",22,36322
7099,TLR4,toll like receptor 4,"TOLL, CD284, TLR-4, ARMD10",9,41317
4982,TNFRSF11B,tumor necrosis factor receptor superfamily member 11b,"OPG, TR1, OCIF, PDB5",8,1912
7225,TRPC6,transient receptor potential cation channel subfamily C member 6,"TRP6, FSGS2",11,37944
7295,TXN,thioredoxin,"TRX, TRDX, TRX1",9,128202
10628,TXNIP,thioredoxin interacting protein,"THIF, VDUP1, HHCPA78, EST01027",1,38186
7351,UCP2,uncoupling protein 2 (mitochondrial  proton carrier),"UCPH, BMIQ4, SLC25A8",11,2516
10911,UTS2,urotensin 2,"UII, U-II, UCN2, PRO1068",1,4939
7412,VCAM1,vascular cell adhesion molecule 1,"CD106, INCAM-100",1,838
7422,VEGFA,vascular endothelial growth factor A,"VPF, VEGF, MVCD1",6,2534
100048912,CDKN2B-AS1,CDKN2B antisense RNA 1 ,"ANRIL, p15AS, PCAT12, CDKN2BAS, CDKN2B-AS, NCRNA00089",9,
207,AKT1,v-akt murine thymoma viral oncogene homolog 1,"AKT,  PKB,  RAC,  CWS6,  PRKBA,  PKB-ALPHA,  RAC-ALPHA",14,3785
3570,IL6R,interleukin 6 receptor,"IL6Q,gp80,CD126,IL6RA,IL6RQ,IL-6RA,IL-6R-1",1,474
3667,IRS1,insulin receptor substrate 1,HIRS-1,2,4049
3953,LEPR,leptin receptor,"OBR,OB-R,CD295,LEP-R,LEPRD",1,1731
4615,MyD88,myeloid differentiation primary response 88,NA,3,1849
6524,SLC5A2,solute carrier family 5 member 2,SGLT2,16,2289
